ls6500: Output directed to terminal and Log/Pre-irrad_3_141029_201411051631_462407.log
initialize ls6500
dataDir /Users/djaffe/work/GIT/LINDSEY/TechMaturation2014/LS6500/Pre-irrad_3_141029/ 
dataSubDir Pre-irrad_3_141029/
initialize spreadsheetReader
ls6500.Main: pickMode put
ls6500.processHeader: Found 192 total samples
ls6500.matchVialMeas: remove summary file MeasurementNo00187.xls from list
            Position          Sample Measurements
       S9_Position06       1002_2F32 ['Pre-irrad_3_141029/MeasurementNo00102.xls']
       S9_Position07       1000_3F36 ['Pre-irrad_3_141029/MeasurementNo00103.xls']
       S9_Position08       1002_3F32 ['Pre-irrad_3_141029/MeasurementNo00104.xls']
       S9_Position09           EMPTY ['Pre-irrad_3_141029/MeasurementNo00105.xls']
       S9_Position10       1000_4F36 ['Pre-irrad_3_141029/MeasurementNo00106.xls']
       S9_Position11       1002_4F32 ['Pre-irrad_3_141029/MeasurementNo00107.xls']
       S9_Position12       0050_1R11 ['Pre-irrad_3_141029/MeasurementNo00108.xls']
      S10_Position01       0052_1R12 ['Pre-irrad_3_141029/MeasurementNo00109.xls']
      S10_Position02       0050_2R11 ['Pre-irrad_3_141029/MeasurementNo00110.xls']
      S10_Position03       0052_2R12 ['Pre-irrad_3_141029/MeasurementNo00111.xls']
      S10_Position04       0050_3R11 ['Pre-irrad_3_141029/MeasurementNo00112.xls']
      S10_Position05       0052_3R12 ['Pre-irrad_3_141029/MeasurementNo00113.xls']
      S10_Position06       0050_4R11 ['Pre-irrad_3_141029/MeasurementNo00114.xls']
      S10_Position07       0052_4R12 ['Pre-irrad_3_141029/MeasurementNo00115.xls']
      S10_Position08       0100_1R22 ['Pre-irrad_3_141029/MeasurementNo00116.xls']
      S10_Position09       0102_1R21 ['Pre-irrad_3_141029/MeasurementNo00117.xls']
      S10_Position10           EMPTY ['Pre-irrad_3_141029/MeasurementNo00118.xls']
      S10_Position11       0100_2R22 ['Pre-irrad_3_141029/MeasurementNo00119.xls']
      S10_Position12       0102_2R21 ['Pre-irrad_3_141029/MeasurementNo00120.xls']
      S11_Position01       0100_3R22 ['Pre-irrad_3_141029/MeasurementNo00121.xls']
      S11_Position02       0102_3R21 ['Pre-irrad_3_141029/MeasurementNo00122.xls']
      S11_Position03       0100_4R22 ['Pre-irrad_3_141029/MeasurementNo00123.xls']
      S11_Position04       0102_4R21 ['Pre-irrad_3_141029/MeasurementNo00124.xls']
      S11_Position05       0140_1R31 ['Pre-irrad_3_141029/MeasurementNo00125.xls']
      S11_Position06       0142_1R26 ['Pre-irrad_3_141029/MeasurementNo00126.xls']
      S11_Position07       0140_2R31 ['Pre-irrad_3_141029/MeasurementNo00127.xls']
      S11_Position08       0142_2R26 ['Pre-irrad_3_141029/MeasurementNo00128.xls']
      S11_Position09       0140_3R31 ['Pre-irrad_3_141029/MeasurementNo00129.xls']
      S11_Position10       0142_3R26 ['Pre-irrad_3_141029/MeasurementNo00130.xls']
      S11_Position11           EMPTY ['Pre-irrad_3_141029/MeasurementNo00131.xls']
      S11_Position12       0140_4R31 ['Pre-irrad_3_141029/MeasurementNo00132.xls']
      S12_Position01       0142_4R26 ['Pre-irrad_3_141029/MeasurementNo00133.xls']
      S12_Position02       1000_1R36 ['Pre-irrad_3_141029/MeasurementNo00134.xls']
      S12_Position03       1002_1R32 ['Pre-irrad_3_141029/MeasurementNo00135.xls']
      S12_Position04       1000_2R36 ['Pre-irrad_3_141029/MeasurementNo00136.xls']
      S12_Position05       1002_2R32 ['Pre-irrad_3_141029/MeasurementNo00137.xls']
      S12_Position06       1000_3R36 ['Pre-irrad_3_141029/MeasurementNo00138.xls']
      S12_Position07       1002_3R32 ['Pre-irrad_3_141029/MeasurementNo00139.xls']
      S12_Position08       1000_4R36 ['Pre-irrad_3_141029/MeasurementNo00140.xls']
      S12_Position09       1002_4R32 ['Pre-irrad_3_141029/MeasurementNo00141.xls']
      S12_Position10       0050_1F16 ['Pre-irrad_3_141029/MeasurementNo00142.xls']
      S12_Position11       0052_1F17 ['Pre-irrad_3_141029/MeasurementNo00143.xls']
      S12_Position12           EMPTY ['Pre-irrad_3_141029/MeasurementNo00144.xls']
      S13_Position01           EMPTY ['Pre-irrad_3_141029/MeasurementNo00145.xls']
      S13_Position02       0050_2F16 ['Pre-irrad_3_141029/MeasurementNo00146.xls']
      S13_Position03           EMPTY ['Pre-irrad_3_141029/MeasurementNo00147.xls']
      S13_Position04       0052_2F17 ['Pre-irrad_3_141029/MeasurementNo00148.xls']
      S13_Position05       0050_3F16 ['Pre-irrad_3_141029/MeasurementNo00149.xls']
      S13_Position06       0052_3F17 ['Pre-irrad_3_141029/MeasurementNo00150.xls']
      S13_Position07       0050_4F16 ['Pre-irrad_3_141029/MeasurementNo00151.xls']
      S13_Position08       0052_4F17 ['Pre-irrad_3_141029/MeasurementNo00152.xls']
      S13_Position09       0100_1F27 ['Pre-irrad_3_141029/MeasurementNo00153.xls']
      S13_Position10       0100_2F27 ['Pre-irrad_3_141029/MeasurementNo00154.xls']
      S13_Position11       0100_3F27 ['Pre-irrad_3_141029/MeasurementNo00155.xls']
      S13_Position12       0100_4F27 ['Pre-irrad_3_141029/MeasurementNo00156.xls']
