ls6500: Output directed to terminal and Log/Pre-irrad_5_141031_201411051643_226973.log
Created Figures/Pre-irrad_5_141031/
initialize ls6500
dataDir /Users/djaffe/work/GIT/LINDSEY/TechMaturation2014/LS6500/Pre-irrad_5_141031/ 
dataSubDir Pre-irrad_5_141031/
initialize spreadsheetReader
ls6500.Main: pickMode put
ls6500.processHeader: columnIDs ['TrayID', 'Position01', 'Position02', 'Position03', 'Position04', 'Position05', 'Position06', 'Position07', 'Position08', 'Position09', 'Position10', 'Position11', 'Position12']
vial#   sampleName     position check of sample name Number of `no vial` slots to this slot
    0      STD_3_H S1_Position01 STD_3_H 0
       S2_Position06       0102_4F25 ['Pre-irrad_5_141031/MeasurementNo00018.xls', 'Pre-irrad_5_141031/MeasurementNo00211.xls']
       S2_Position07       0140_1F23 ['Pre-irrad_5_141031/MeasurementNo00019.xls', 'Pre-irrad_5_141031/MeasurementNo00212.xls']
       S2_Position08       0142_1F33 ['Pre-irrad_5_141031/MeasurementNo00020.xls', 'Pre-irrad_5_141031/MeasurementNo00213.xls']
       S2_Position09       0140_2F23 ['Pre-irrad_5_141031/MeasurementNo00021.xls', 'Pre-irrad_5_141031/MeasurementNo00214.xls']
       S2_Position10       0142_2F33 ['Pre-irrad_5_141031/MeasurementNo00022.xls', 'Pre-irrad_5_141031/MeasurementNo00215.xls']
       S2_Position11       0140_3F23 ['Pre-irrad_5_141031/MeasurementNo00023.xls', 'Pre-irrad_5_141031/MeasurementNo00216.xls']
       S2_Position12       0142_3F33 ['Pre-irrad_5_141031/MeasurementNo00024.xls', 'Pre-irrad_5_141031/MeasurementNo00217.xls']
       S3_Position01       0140_4F23 ['Pre-irrad_5_141031/MeasurementNo00025.xls', 'Pre-irrad_5_141031/MeasurementNo00218.xls']
       S3_Position02       0142_4F33 ['Pre-irrad_5_141031/MeasurementNo00026.xls', 'Pre-irrad_5_141031/MeasurementNo00219.xls']
       S3_Position03           EMPTY ['Pre-irrad_5_141031/MeasurementNo00027.xls', 'Pre-irrad_5_141031/MeasurementNo00220.xls']
       S3_Position04       1000_1F34 ['Pre-irrad_5_141031/MeasurementNo00028.xls', 'Pre-irrad_5_141031/MeasurementNo00221.xls']
       S3_Position05       1002_1F35 ['Pre-irrad_5_141031/MeasurementNo00029.xls', 'Pre-irrad_5_141031/MeasurementNo00222.xls']
       S3_Position06       1000_2F34 ['Pre-irrad_5_141031/MeasurementNo00030.xls', 'Pre-irrad_5_141031/MeasurementNo00223.xls']
       S3_Position07       1002_2F35 ['Pre-irrad_5_141031/MeasurementNo00031.xls', 'Pre-irrad_5_141031/MeasurementNo00224.xls']
       S3_Position08       1000_3F34 ['Pre-irrad_5_141031/MeasurementNo00032.xls', 'Pre-irrad_5_141031/MeasurementNo00225.xls']
       S3_Position09       1002_3F35 ['Pre-irrad_5_141031/MeasurementNo00033.xls', 'Pre-irrad_5_141031/MeasurementNo00226.xls']
       S3_Position10       1000_4F34 ['Pre-irrad_5_141031/MeasurementNo00034.xls', 'Pre-irrad_5_141031/MeasurementNo00227.xls']
       S3_Position11       1002_4F35 ['Pre-irrad_5_141031/MeasurementNo00035.xls', 'Pre-irrad_5_141031/MeasurementNo00228.xls']
       S3_Position12       0050_1R13 ['Pre-irrad_5_141031/MeasurementNo00036.xls', 'Pre-irrad_5_141031/MeasurementNo00229.xls']
       S4_Position01       0052_1R14 ['Pre-irrad_5_141031/MeasurementNo00037.xls', 'Pre-irrad_5_141031/MeasurementNo00230.xls']
       S4_Position02       0050_2R13 ['Pre-irrad_5_141031/MeasurementNo00038.xls', 'Pre-irrad_5_141031/MeasurementNo00231.xls']
       S4_Position03       0052_2R14 ['Pre-irrad_5_141031/MeasurementNo00039.xls', 'Pre-irrad_5_141031/MeasurementNo00232.xls']
       S4_Position04           EMPTY ['Pre-irrad_5_141031/MeasurementNo00040.xls', 'Pre-irrad_5_141031/MeasurementNo00233.xls']
       S4_Position05       0050_3R13 ['Pre-irrad_5_141031/MeasurementNo00041.xls', 'Pre-irrad_5_141031/MeasurementNo00234.xls']
       S4_Position06       0052_3R14 ['Pre-irrad_5_141031/MeasurementNo00042.xls', 'Pre-irrad_5_141031/MeasurementNo00235.xls']
       S4_Position07       0050_4R13 ['Pre-irrad_5_141031/MeasurementNo00043.xls', 'Pre-irrad_5_141031/MeasurementNo00236.xls']
       S4_Position08       0052_4R14 ['Pre-irrad_5_141031/MeasurementNo00044.xls', 'Pre-irrad_5_141031/MeasurementNo00237.xls']
